id,model,price,resolution,frameRate,nvidiaGSync
725679,Samsung,686652,1280x720,153,FALSE
850902,Sony,962231,1280x720,96,TRUE
555233,Sony,502012,1920x1080,155,TRUE
103655,HP,967303,1920x1080,101,FALSE
785774,Samsung,23547,1920x1080,187,TRUE
774355,Panasonic,934741,1280x720,121,FALSE
160204,Panasonic,345908,1920x1080,84,FALSE
884662,Samsung,534481,1280x720,262,FALSE
821240,Sony,152363,1920x1080,137,TRUE
423136,Sony,164509,1920x1080,117,TRUE
57692,Panasonic,384573,1280x720,151,TRUE
630829,Samsung,851939,1920x1080,187,TRUE
609769,Sony,404081,1920x1080,141,TRUE
947362,Sony,791807,1280x720,143,TRUE
740450,Panasonic,309885,1280x720,248,TRUE
851304,Samsung,541562,1280x720,285,TRUE
739321,Sony,758390,1280x720,84,TRUE
89512,Sony,250866,1920x1080,202,TRUE
576062,Panasonic,854778,1920x1081,282,TRUE
50925,Samsung,903472,1920x1080,61,TRUE
634162,Sony,747140,1280x720,90,TRUE
786607,Sony,767105,1280x720,88,FALSE
293423,Sony,315600,1280x720,223,TRUE
410504,Sony,398288,1280x720,146,FALSE
194926,HP,679607,1280x720,88,FALSE
101026,Samsung,977290,1280x720,131,TRUE
307499,Panasonic,66759,1280x720,297,FALSE
444453,Panasonic,320138,1280x720,189,TRUE
54163,Samsung,390007,1280x720,101,FALSE
465116,Sony,589204,1920x1080,65,FALSE
274952,Sony,661321,1920x1080,197,FALSE
937779,HP,158882,1920x1081,292,FALSE
363940,Samsung,285474,1280x720,279,TRUE
803810,Panasonic,221569,1280x720,202,TRUE
578920,Panasonic,697243,1280x720,66,FALSE
59215,Samsung,485612,1920x1080,163,TRUE
978287,Samsung,243164,1920x1080,249,TRUE
959871,Sony,863145,1920x1080,286,TRUE
278118,Sony,245032,1280x721,142,TRUE
923223,HP,257394,1280x721,262,TRUE
870879,Samsung,313218,1920x1080,145,TRUE
987938,Panasonic,291935,1920x1080,248,TRUE
423640,Panasonic,648943,1920x1080,169,TRUE
30823,Samsung,305646,1280x722,291,TRUE
637082,Samsung,725076,1280x722,225,FALSE
306413,Sony,491382,1920x1080,140,TRUE
546192,Sony,660234,1920x1080,172,TRUE
957694,HP,52239,1920x1080,166,TRUE
969570,Panasonic,23044,1280x723,83,TRUE
400363,Samsung,805281,1280x723,289,FALSE
547221,Sony,362672,1920x1080,251,TRUE
377711,Sony,658676,1920x1080,129,TRUE
67988,HP,258063,1920x1080,102,TRUE
753893,Samsung,96898,1280x720,289,TRUE
189249,Sony,792174,1280x720,299,TRUE
11054,Sony,446188,1920x1080,126,FALSE
45670,HP,741335,1920x1080,84,TRUE
957129,Samsung,70442,1920x1080,133,TRUE
873950,Panasonic,439426,1280x721,288,TRUE
368269,Panasonic,803676,1920x1081,184,TRUE
530242,Samsung,346870,1280x721,218,TRUE
480734,Sony,509593,1920x1080,220,FALSE
420864,Sony,556413,1920x1080,269,TRUE
225111,Panasonic,935728,1280x721,194,TRUE
819928,Samsung,744020,1920x1080,188,TRUE
440018,Sony,563285,1920x1080,167,TRUE
115356,Sony,949964,1280x720,260,FALSE
607759,Panasonic,369820,1280x720,261,TRUE
153725,Samsung,852726,1280x720,108,FALSE
