id,model,price,resolution,frameRate,nvidiaGSync
772508,Samsung,734167,1280x720,213,true
855719,Sony,864125,1280x720,152,true
212987,Sony,469581,1920x1080,99,false
879363,HP,123126,1920x1080,156,true
396162,Samsung,681914,1920x1080,86,false
18738,Panasonic,550631,1280x720,146,true
733422,Panasonic,889500,1920x1080,161,true
730021,Samsung,262524,1280x720,138,true
562972,Sony,859548,1920x1080,196,true
493027,Sony,977022,1920x1080,297,true
624090,Panasonic,627153,1280x720,256,true
766813,Samsung,991359,1920x1080,204,false
732383,Sony,87311,1920x1080,129,true
348535,Sony,183822,1280x720,184,true
616320,Panasonic,342776,1280x720,217,false
753031,Samsung,596334,1280x720,248,false
924380,Sony,635986,1280x720,202,false
977651,Sony,950549,1920x1080,210,true
405336,Panasonic,76227,1920x1081,191,true
931266,Samsung,877941,1920x1080,132,false
104933,Sony,47077,1280x720,186,false
236719,Sony,232719,1280x720,183,true
216775,Sony,133334,1280x720,163,true
738940,Sony,795887,1280x720,142,true
533362,HP,112347,1280x720,175,false
121569,Samsung,284385,1280x720,162,false
527476,Panasonic,946205,1280x720,253,false
636067,Panasonic,867592,1280x720,236,false
170419,Samsung,417636,1280x720,179,true
240147,Sony,508485,1920x1080,106,true
80812,Sony,523174,1920x1080,67,true
916226,HP,296526,1920x1081,158,true
367938,Samsung,713749,1280x720,122,true
662742,Panasonic,471609,1280x720,200,true
162069,Panasonic,960125,1280x720,201,false
517272,Samsung,262701,1920x1080,81,false
839225,Samsung,552577,1920x1080,83,false
953894,Sony,822825,1920x1080,164,true
80786,Sony,475987,1280x721,295,true
400036,HP,794583,1280x721,234,true
343940,Samsung,914728,1920x1080,228,false
319989,Panasonic,473305,1920x1080,163,false
944688,Panasonic,491564,1920x1080,159,true
21305,Samsung,555086,1280x722,91,false
612035,Samsung,185699,1280x722,274,true
842659,Sony,164422,1920x1080,174,false
103787,Sony,407244,1920x1080,138,true
791608,HP,899044,1920x1080,64,false
778390,Panasonic,821000,1280x723,199,true
710485,Samsung,986801,1280x723,135,true
93406,Sony,681810,1920x1080,216,true
178845,Sony,350749,1920x1080,104,false
3088,HP,936725,1920x1080,277,true
210166,Samsung,461613,1280x720,263,true
511345,Sony,421266,1280x720,71,true
295576,Sony,337737,1920x1080,139,true
11885,HP,380764,1920x1080,217,true
993142,Samsung,43040,1920x1080,116,true
27101,Panasonic,793570,1280x721,151,false
390745,Panasonic,535967,1920x1081,145,true
7191,Samsung,671243,1280x721,139,false
794854,Sony,52386,1920x1080,173,true
639971,Sony,857202,1920x1080,132,true
655945,Panasonic,131958,1280x721,144,true
772004,Samsung,817758,1920x1080,181,true
351167,Sony,144820,1920x1080,157,false
378116,Sony,268744,1280x720,140,true
151753,Panasonic,804244,1280x720,276,false
817528,Samsung,772737,1280x720,261,true
